url,rental,bedroom,bathroom,carpool,address,property_type,is_air_conditioning,is_floorboard,is_furnished,is_outdoor,is_secure,is_sports,is_recorded
/property-townhouse-wa-nedlands-420716098,$475 per week,2,1,1,"3/109 Broadway, Nedlands, WA 6009",Townhouse,1,0,0,1,1,0,1
/property-apartment-wa-northbridge-420705578,$470 per week,2,2,1,"42/134 Aberdeen Street, Northbridge, WA 6003",Apartment,1,0,0,1,1,1,1
/property-house-wa-dianella-420264698,$290 per week,3,1,4,"6 Edge Place, Dianella, WA 6059",House,1,0,0,0,1,0,1
/property-townhouse-wa-cloverdale-420333974,$350 per week,3,2,2,"1/363 Hardey Road, Cloverdale, WA 6105",Townhouse,1,0,0,0,1,0,1
/property-house-wa-karrinyup-420601090,$530 per week,4,1,4,"129 Milverton Avenue, Karrinyup, WA 6018",House,1,0,0,0,1,0,1
/property-house-wa-balga-417215550,$250 per week,3,1,3,"17 Rochester Circle, Balga, WA 6061",House,0,1,0,0,1,0,1
/property-apartment-wa-west+perth-420601022,$440 per week,3,2,1,"38/1 Carr St, West Perth, WA 6005",Apartment,1,0,0,1,1,1,1
/property-house-wa-connolly-418061114,$350 per week,3,1,1,"11B  Mission Hills Place, Connolly, WA 6027",House,0,1,0,0,1,0,1
/property-house-wa-kelmscott-415060459,$250 per week,3,1,2,"18 Tamarind Crescent, Kelmscott, WA 6111",House,1,0,0,0,1,0,1
/property-apartment-wa-midland-420715534,$310 per week,1,1,1,"70/21 Foundry Rd, Midland, WA 6056",Apartment,1,0,1,1,1,0,1
/property-house-wa-brookdale-412316867,$275 per week,3,1,1,"65 Bodicoat Drive, Brookdale, WA 6112",House,1,0,0,0,1,0,1
/property-house-wa-armadale-412537955,$220 per week,2,1,1,"Unit 25/14 Coralie Court, Armadale, WA 6112",House,0,0,0,1,1,1,1
/property-house-wa-clarkson-420287914,$375.00 per week,4,2,2,"14 Ridglea Link, Clarkson, WA 6030",House,1,0,0,0,1,0,1
/property-house-wa-redcliffe-420712778,$445 per week,4,2,1,"11 Kinghorn Place, Redcliffe, WA 6104",House,1,0,0,0,1,0,1
/property-apartment-wa-midland-420226602,$350 + 1 WEEKS FREE RENT,2,2,1,"56/21 Foundry Road, Midland, WA 6056",Apartment,1,0,0,1,1,0,1
/property-apartment-wa-midland-420226378,$320 + 1 WEEKS FREE RENT,2,2,1,"11/21 Foundry Road, Midland, WA 6056",Apartment,1,0,0,1,1,0,1
/property-apartment-wa-cannington-420598914,$400,2,2,1,"V204/58 Grose Avenue, Cannington, WA 6107",Apartment,1,0,1,0,1,1,1
/property-house-wa-perth-420712590,$585 per week,3,2,2,"130 Glendower Street, Perth, WA 6000",House,1,1,0,1,1,0,1
/property-house-wa-canning+vale-419626794,$370,3,2,2,"34 Pentland Street, Canning Vale, WA 6155",House,1,0,1,1,1,0,1
/property-house-wa-beechboro-420712386,$400 per week,4,2,1,"9 Maranon Crescent, Beechboro, WA 6063",House,1,0,0,0,1,1,1
/property-house-wa-kelmscott-413357171,$260 per week,3,1,2,"Unit 1 / 24 Willowmead Way, Kelmscott, WA 6111",House,1,0,0,0,1,0,1
/property-unit-wa-wembley-420106906,$290 per week,2,1,1,"35/59 Herdsman Parade, Wembley, WA 6014",Unit,0,0,0,1,1,0,1
/property-villa-wa-east+victoria+park-420471846,$330 per week,3,1,2,"3/115 Bank Street, East Victoria Park, WA 6101",Villa,1,0,0,0,1,0,1
/property-villa-wa-east+victoria+park-420226470,$330 per week,3,1,1,"3/53 Beatty Avenue, East Victoria Park, WA 6101",Villa,1,0,0,0,1,0,1
/property-unit-wa-south+perth-405008788,$330 per week,2,1,1,"2/181 Mill Point Road, South Perth, WA 6151",Unit,0,0,0,0,1,0,1
/property-unit-wa-crawley-414448211,$385 per week,2,1,1,"7/9 Everett Street, Crawley, WA 6009",Unit,0,0,0,1,1,0,1
/property-house-wa-gosnells-420526678,$250 per week,3,1,2,"4 Terence Street, Gosnells, WA 6110",House,1,1,0,0,1,0,1
/property-house-wa-bentley-420324610,$370 per week,4,2,2,"97 Chapman Road, Bentley, WA 6102",House,1,0,0,1,1,0,1
/property-house-wa-byford-420423950,$355 per week,4,2,4,"14 Cranbourne St, Byford, WA 6122",House,1,0,0,1,1,0,1
/property-apartment-wa-perth-414738327,$460 per week,1,1,1,"100/101 Murray Street, Perth, WA 6000",Apartment,1,0,1,1,1,1,1
/property-apartment-wa-perth-419247754,$360 per week,3,1,1,"8/298-300 Stirling Street, Perth, WA 6000",Apartment,1,0,0,1,1,1,1
/property-apartment-wa-wembley+downs-414709967,$580 per week,3,2,2,"4/25 Bournemouth Crescent, Wembley Downs, WA...",Apartment,1,1,0,1,1,0,1
/property-villa-wa-osborne+park-420418738,$290,2,1,1,"19/201 Albert Street, Osborne Park, WA 6017",Villa,1,0,0,0,1,0,1
/property-villa-wa-scarborough-415099151,$420 per week,3,1,2,"5/10 Helmsley Street, Scarborough, WA 6019",Villa,1,0,0,1,1,0,1
/property-apartment-wa-south+perth-414648467,$370 per week,1,1,1,"7/23 Bowman Street, South Perth, WA 6151",Apartment,0,0,0,1,1,1,1
/property-unit-wa-doubleview-410640263,$280 per week,1,1,1,"14/227 Scarborough Beach Road, Doubleview, WA...",Unit,1,1,1,0,1,0,1
/property-duplex+semi+detached-wa-victoria+park-405258992,$290 per week,2,1,1,"50a Colombo Street, Victoria Park, WA 6100",Duplex/Semi-Detached,0,0,1,0,1,0,1
/property-apartment-wa-west+perth-416403933,$530 per week,2,2,1,"25/6 Campbell St, West Perth, WA 6005",Apartment,1,0,1,1,1,0,1
/property-apartment-wa-perth-412965995,$580 per week,2,2,1,"12/69 Milligan Street, Perth, WA 6000",Apartment,1,0,1,1,1,1,1
/property-apartment-wa-perth-412160263,$500 per week,2,2,1,"71/101 Murray Street, Perth, WA 6000",Apartment,1,0,0,1,1,1,1
/property-unit-wa-perth-409322011,**UNDER APPLICATION**,1,1,0,"1005/305 Murray Street, Perth, WA 6000",Unit,1,0,1,0,1,0,1
/property-house-wa-alkimos-420590778,$295.00 per week,3,2,2,"56 Zodiac Drive, Alkimos, WA 6038",House,1,0,0,1,1,0,1
/property-house-wa-joondalup-415170359,$350 per week,3,1,2,"25 Abitibi Turn, Joondalup, WA 6027",House,1,0,0,0,1,0,1
/property-apartment-wa-south+perth-420694562,$345pw unfurnished  OR $375 furnished,2,1,1,"1/17 Richardson Street, South Perth, WA 6151",unknown,0,0,0,0,0,0,0
/property-house-wa-langford-420705666,$250 per week,3,1,2,"40 Norbury Way, Langford, WA 6147",House,1,0,0,0,1,0,1
/property-house-wa-dalkeith-420590618,$950 per week,4,2,2,"2 Minora Road, Dalkeith, WA 6009",House,1,0,0,1,1,0,1
/property-townhouse-wa-maylands-420590670,$350 per week,3,1,1,"5/6 Mt Prospect Place, Maylands, WA 6051",Townhouse,1,0,0,1,1,0,1
/property-house-wa-willetton-414545915,$380 per week,4,2,2,"100 Burrendah Boulevard, Willetton, WA 6155",House,1,0,0,0,1,0,1
/property-villa-wa-dianella-403626471,$285 per week,2,1,1,"4/15 Chester Avenue, Dianella, WA 6059",Villa,0,0,0,1,1,0,1
/property-apartment-wa-victoria+park-420705406,$360 per week,2,1,1,"7/8 King George Street, Victoria Park, WA 6100",Apartment,1,0,0,1,1,1,1
/property-house-wa-karawara-420705398,$550 per week,4,2,2,"38 Lowan Loop, Karawara, WA 6152",House,1,0,0,0,1,0,1
/property-house-wa-maylands-413042487,$465 per week,3,2,2,"10/23 Cox Street, Maylands, WA 6051",House,1,0,0,0,1,0,1
/property-townhouse-wa-belmont-420705358,$420 per week,3,2,3,"29/68 Fisher Street, Belmont, WA 6104",Townhouse,1,0,0,1,1,1,1
